Apps package name,Review,Polarity
100,Norton Genie,tightfeatherdovewingcricketspider_web,0.0
101,Norton Genie,block text tell scam,-0.765
102,Norton Genie,think amazing would technology youre able keep scan stuff thank protecting revolving_heartsrevolving_heartsrevolving_hearts,0.743
103,Norton Genie,यह बहत मसत ह,0.0
104,Norton Genie,got ta admit immediately reminds terminator flick getting know trustyour app something im looking forward c u soon,0.2023
105,Norton Genie,far great,0.6249
106,Norton Genie,change rating could give zero star would used smart app take picture something want know fraud give information didnt even ask give like made dumber past six month would make something worse fine dont use useless like google ai app thats joke used better happened,0.3009
107,Norton Genie,entertainment love sex money dna change life,0.7906
108,Norton Genie,worked great,0.6249
109,Norton Genie,thought robot could better must tellum want hear kinda bot,0.4939
110,Norton Genie,ok,0.296
111,Norton Genie,oh cest génial jai vraiment besoin dun ami empathique oh thats awesome really need empathetic friend,0.8896
112,Norton Genie,easy use efficient,0.6908
113,Norton Genie,help thank smiling_face_with_smiling_eyes folded_hands,0.6369
114,Norton Genie,really helpful checking something suspect scam would recommend,-0.079
115,Norton Genie,debsehwarbarman,0.0
116,Norton Genie,incredible,0.0
117,Norton Genie,really didnt get much app six month deleted today really couldnt find anything useful idea sound ever another product like future id love try im impressed,0.8123
118,Norton Genie,good,0.4404
119,Norton Genie,helpful catching scammer text message favorite part screenshot suspicious email,0.5106
120,Norton Genie,nice,0.4215
121,Norton Genie,block compliance,-0.4404
122,Norton Genie,good thumbs_up,0.4404
123,Norton Genie,lov helpful,0.4215
124,Norton Genie,tested seems useful business owner many thing look convincing infact scamfraudsand phishing app come action keep scammer waiting thinking away steal detail next step get money least expected genie professional know stop scammer baygrinning_facegrinning_facegrinning_face,0.0516
125,Norton Genie,app appeared b four birthday,0.0
126,Norton Genie,excellent app,0.5719
127,Norton Genie,unsafe never use ever againkeycap_1eightpointed_starenraged_facethumbs_downprohibiteddouble_exclamation_mark,0.0
128,Norton Genie,bet defi alphabet conjunction,0.0
129,Norton Genie,get new phone number teacher friend,0.5423
130,Norton Genie,rakhes yadab chuck im im,0.0
131,Norton Genie,awesome saved many scam,0.4939
132,Norton Genie,say helped scam phone service,-0.5719
133,Norton Genie,bast vary nice day,0.4215
134,Norton Genie,anshika amit,0.0
135,Norton Genie,really helpful got many scammed chat room,0.4754
136,Norton Genie,absolutely love appthumbs_upflexed_bicepsflexed_bicepsso far spot identifying scammer showing handle situation hand prevent happening would definitely recommend app anyone said thank norton personnel,0.9381
137,Norton Genie,describe experience unless missed something likely haha theni dont know get genie apps text get th explain pleaseor idiot like learn use genie saying give ten star,0.0
138,Norton Genie,used another another system first time im going try phone computer like ill get back still give five star based company credibility high standard quality apps,-0.0772
139,Norton Genie,good app warn virus spam,-0.0
140,Norton Genie,flagged text norton fake screen shot legit copy pasted recognize company could trust tried report customer report virtual assistant couldnt help told would thirty minute response starting lose faith norton,-0.2401
141,Norton Genie,good thanks,0.7003
142,Norton Genie,useful tool,0.4404
143,Norton Genie,deep motivatingscenario,0.0
144,Norton Genie,excellent interface simple use fast result like application,0.7351
145,Norton Genie,great,0.6249
146,Norton Genie,program provides extra layer security needed determine authenticity received text message email still extra caution never extreme refers personal financial information used application several time since installed two week ago far work well,0.5423
147,Norton Genie,thank jesus got message big help,0.6369
148,Norton Genie,hundred_pointsthumbs_up,0.0
149,Norton Genie,useful,0.4404
150,Norton Genie,thorough,0.0
151,Norton Genie,hiten smiling_face,0.0
152,Norton Genie,pretty great think week two app seventy-five training dedicated thats incredible,0.8834
153,Norton Genie,excellent,0.5719
154,Norton Genie,although ive gotten good knowing scam none scam etc tool helpful even little unsure want informed used use google try figure message email scam attempt phish hack wouldnt always get answer feel like helper work let know avoid cyber threat better safe sorry,0.5287
